,구분,회사명,특약명,가입조건,판매채널,적용담보(자동차상해 및담보별 확장특약 포함기준),할인율(%)ascdesc
108,블랙박스장착할인,현대해상,차량용 영상기록장치(블랙박스) 할인 특별약관,▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 장치 : 차량용 영상기록장치(커넥티드 블랙박스)를 장착한 차량② 차령 : 신차~12년전 이하③ 차종 : 전 차종,대면/TM/CM/플랫폼,대인1/대인2/대물/자손/무보험/자차,5.9
109,블랙박스장착할인,현대해상,차량용 영상기록장치(블랙박스) 할인 특별약관,▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 장치 : 차량용 영상기록장치(커넥티드 블랙박스)를 장착한 차량② 차령 : 13년전 이상③ 차종 : 전 차종,대면/TM/CM/플랫폼,대인1/대인2/대물/자손/무보험/자차,3.8
110,블랙박스장착할인,현대해상,차량용 영상기록장치(블랙박스) 할인 특별약관,▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 장치 : 차량용 영상기록장치(빌트인캠)를 장착한 차량② 차령 : 신차~12년전 이하③ 차종 : 전 차종,대면/TM/CM/플랫폼,대인1/대인2/대물/자손/무보험/자차,6.7
111,블랙박스장착할인,현대해상,차량용 영상기록장치(블랙박스) 할인 특별약관,▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 장치 : 차량용 영상기록장치(빌트인캠)를 장착한 차량② 차령 : 13년전 이상③ 차종 : 전 차종,대면/TM/CM/플랫폼,대인1/대인2/대물/자손/무보험/자차,4.6
112,블랙박스장착할인,KB손보,블랙박스 장착 할인 특별약관,▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 피보험자동차에 내장형 블랙박스가 장착되어있는 경우③ 전 차종,대면/TM/CM/PM,대인1/대인2/대물/자손/무보험/자차,7
113,블랙박스장착할인,KB손보,블랙박스 장착 할인 특별약관,▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 피보험자동차에 블랙박스를 장착한 경우② 차령조건: 신차~2년식③ 전 차종,대면/TM/CM/PM,대인1/대인2/대물/자손/무보험/자차,4.7
114,블랙박스장착할인,KB손보,블랙박스 장착 할인 특별약관,▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 피보험자동차에 블랙박스를 장착한 경우② 차령조건: 3~11년식③ 전 차종,대면/TM/CM/PM,대인1/대인2/대물/자손/무보험/자차,2.9
115,블랙박스장착할인,DB손보,차량용 블랙박스에 관한 특별약관,▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 피보험자동차에 블랙박스를 장착한 경우② 차령 : 0~2년식③ 차종 : 전 차종,대면/TM/CM/플랫폼,"대인1/대인2/대물/
자손/무보험/자차",2.5
116,블랙박스장착할인,DB손보,차량용 블랙박스에 관한 특별약관,▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 피보험자동차에 블랙박스를 장착한 경우② 차령 : 3~ 9년식③ 차종 : 전 차종,대면/TM/CM/플랫폼,"대인1/대인2/대물/
자손/무보험/자차",1.4
117,블랙박스장착할인,AXA손보,차량용 영상기록장치(블랙박스) 특별약관,▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 피보험자동차에 블랙박스를 장착한 경우② 차령 조건 : 3년 이내③ 차종 조건 : 전 차종,"TM, CM","대인1, 대인2, 대물, 자손, 무보험차상해, 자차",5.9
118,블랙박스장착할인,AXA손보,차량용 영상기록장치(블랙박스) 특별약관,▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 피보험자동차에 블랙박스를 장착한 경우② 차령 조건 : 3년 초과③ 차종 조건 : 전 차종,"TM, CM","대인1, 대인2, 대물, 자손, 무보험차상해, 자차",1.4
119,마일리지(후정산형)할인,메리츠화재,주행거리 연동 할인 특별약관,▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 주행거리 조건 : 연간 주행거리 3천km 이하② 고지방식 조건 : 계기판 사진 전송③ 차종 조건 : 전 차종④ 보험기간 조건 : 보험기간이 3개월 이상,대면/TM/CM/PM,대인1/대인2/대물/자손/무보험/자차,46
120,마일리지(후정산형)할인,메리츠화재,주행거리 연동 할인 특별약관,▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 주행거리 조건 : 연간 주행거리 3천km 초과 ~ 5천km 이하② 고지방식 조건 : 계기판 사진 전송③ 차종 조건 : 전 차종④ 보험기간 조건 : 보험기간이 3개월 이상,대면/TM/CM/PM,대인1/대인2/대물/자손/무보험/자차,37
121,마일리지(후정산형)할인,메리츠화재,주행거리 연동 할인 특별약관,▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 주행거리 조건 : 연간 주행거리 5천km 초과 ~ 8천km 이하② 고지방식 조건 : 계기판 사진 전송③ 차종 조건 : 전 차종④ 보험기간 조건 : 보험기간이 3개월 이상,대면/TM/CM/PM,대인1/대인2/대물/자손/무보험/자차,28
122,마일리지(후정산형)할인,메리츠화재,주행거리 연동 할인 특별약관,▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 주행거리 조건 : 연간 주행거리 8천km 초과 ~ 1만km 이하② 고지방식 조건 : 계기판 사진 전송③ 차종 조건 : 전 차종④ 보험기간 조건 : 보험기간이 3개월 이상,대면/TM/CM/PM,대인1/대인2/대물/자손/무보험/자차,17
123,마일리지(후정산형)할인,메리츠화재,주행거리 연동 할인 특별약관,▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 주행거리 조건 : 연간 주행거리 1만km 초과 ~ 1만2천km 이하② 고지방식 조건 : 계기판 사진 전송③ 차종 조건 : 전 차종④ 보험기간 조건 : 보험기간이 3개월 이상,대면/TM/CM/PM,대인1/대인2/대물/자손/무보험/자차,10
124,마일리지(후정산형)할인,메리츠화재,주행거리 연동 할인 특별약관,▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 주행거리 조건 : 연간 주행거리 1만2천km 초과 ~ 1만5천km 이하② 고지방식 조건 : 계기판 사진 전송③ 차종 조건 : 전 차종④ 보험기간 조건 : 보험기간이 3개월 이상,대면/TM/CM/PM,대인1/대인2/대물/자손/무보험/자차,2
125,마일리지(후정산형)할인,메리츠화재,주행거리 연동 할인 특별약관,▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 주행거리 조건 : 연간 주행거리 1만5천km 초과 ~  1만7천km 이하② 고지방식 조건 : 계기판 사진 전송③ 차종 조건 : 전 차종④ 보험기간 조건 : 보험기간이 3개월 이상,대면/TM/CM/PM,대인1/대인2/대물/자손/무보험/자차,2
126,마일리지(후정산형)할인,한화손보,ECO 마일리지 특별약관 (후정산),"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 주행거리 조건 : 2,000km 이하② 고지방식 조건 : 계기판？사진？전송③ 차종 조건 : 초소형/소형A,B④ 보험기간 조건 : 1년(추가가입의 경우 잔여기간 3개월이상)","대면, TM","대인1, 대인2, 대물, 자손, 무보험차상해, 자차",38
127,마일리지(후정산형)할인,한화손보,ECO 마일리지 특별약관 (후정산),"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 주행거리 조건 : 2,000km 초과 3,000km 이하② 고지방식 조건 : 계기판？사진？전송③ 차종 조건 : 초소형/소형A,B④ 보험기간 조건 : 1년(추가가입의 경우 잔여기간 3개월이상)","대면, TM","대인1, 대인2, 대물, 자손, 무보험차상해, 자차",33
128,마일리지(후정산형)할인,한화손보,ECO 마일리지 특별약관 (후정산),"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 주행거리 조건 : 3,000km 초과 5,000km 이하② 고지방식 조건 : 계기판？사진？전송③ 차종 조건 : 초소형/소형A,B④ 보험기간 조건 : 1년(추가가입의 경우 잔여기간 3개월이상)","대면, TM","대인1, 대인2, 대물, 자손, 무보험차상해, 자차",28
129,마일리지(후정산형)할인,한화손보,ECO 마일리지 특별약관 (후정산),"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 주행거리 조건 : 5,000km 초과 7,000km 이하② 고지방식 조건 : 계기판？사진？전송③ 차종 조건 : 초소형/소형A,B④ 보험기간 조건 : 1년(추가가입의 경우 잔여기간 3개월이상)","대면, TM","대인1, 대인2, 대물, 자손, 무보험차상해, 자차",19
130,마일리지(후정산형)할인,한화손보,ECO 마일리지 특별약관 (후정산),"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 주행거리 조건 : 7,000km 초과 10,000km 이하② 고지방식 조건 : 계기판？사진？전송③ 차종 조건 : 초소형/소형A,B④ 보험기간 조건 : 1년(추가가입의 경우 잔여기간 3개월이상)","대면, TM","대인1, 대인2, 대물, 자손, 무보험차상해, 자차",17
131,마일리지(후정산형)할인,한화손보,ECO 마일리지 특별약관 (후정산),"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 주행거리 조건 : 10,000km 초과 12,000km 이하② 고지방식 조건 : 계기판？사진？전송③ 차종 조건 : 초소형/소형A,B④ 보험기간 조건 : 1년(추가가입의 경우 잔여기간 3개월이상)","대면, TM","대인1, 대인2, 대물, 자손, 무보험차상해, 자차",12
132,마일리지(후정산형)할인,한화손보,ECO 마일리지 특별약관 (후정산),"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 주행거리 조건 : 12,000km 초과 15,000km 이하② 고지방식 조건 : 계기판？사진？전송③ 차종 조건 : 초소형/소형A,B④ 보험기간 조건 : 1년(추가가입의 경우 잔여기간 3개월이상)","대면, TM","대인1, 대인2, 대물, 자손, 무보험차상해, 자차",5
133,마일리지(후정산형)할인,한화손보,ECO 마일리지 특별약관 (후정산),"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 주행거리 조건 : 15,000km 초과 18,000km 이하② 고지방식 조건 : 계기판？사진？전송③ 차종 조건 : 초소형/소형A,B④ 보험기간 조건 : 1년(추가가입의 경우 잔여기간 3개월이상)","대면, TM","대인1, 대인2, 대물, 자손, 무보험차상해, 자차",2
134,마일리지(후정산형)할인,한화손보,ECO 마일리지 특별약관 (후정산),"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 주행거리 조건 : 2,000km 이하② 고지방식 조건 : 계기판？사진？전송③ 차종 조건 : 중형,대형④ 보험기간 조건 : 1년(추가가입의 경우 잔여기간 3개월이상)","대면, TM","대인1, 대인2, 대물, 자손, 무보험차상해, 자차",40
135,마일리지(후정산형)할인,한화손보,ECO 마일리지 특별약관 (후정산),"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 주행거리 조건 : 2,000km 초과 3,000km 이하② 고지방식 조건 : 계기판？사진？전송③ 차종 조건 : 중형,대형④ 보험기간 조건 : 1년(추가가입의 경우 잔여기간 3개월이상)","대면, TM","대인1, 대인2, 대물, 자손, 무보험차상해, 자차",36
136,마일리지(후정산형)할인,한화손보,ECO 마일리지 특별약관 (후정산),"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 주행거리 조건 : 3,000km 초과 5,000km 이하② 고지방식 조건 : 계기판？사진？전송③ 차종 조건 : 중형,대형④ 보험기간 조건 : 1년(추가가입의 경우 잔여기간 3개월이상)","대면, TM","대인1, 대인2, 대물, 자손, 무보험차상해, 자차",31
137,마일리지(후정산형)할인,한화손보,ECO 마일리지 특별약관 (후정산),"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 주행거리 조건 : 5,000km 초과 7,000km 이하② 고지방식 조건 : 계기판？사진？전송③ 차종 조건 : 중형,대형④ 보험기간 조건 : 1년(추가가입의 경우 잔여기간 3개월이상)","대면, TM","대인1, 대인2, 대물, 자손, 무보험차상해, 자차",22
138,마일리지(후정산형)할인,한화손보,ECO 마일리지 특별약관 (후정산),"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 주행거리 조건 : 7,000km 초과 10,000km 이하② 고지방식 조건 : 계기판？사진？전송③ 차종 조건 : 중형,대형④ 보험기간 조건 : 1년(추가가입의 경우 잔여기간 3개월이상)","대면, TM","대인1, 대인2, 대물, 자손, 무보험차상해, 자차",20
139,마일리지(후정산형)할인,한화손보,ECO 마일리지 특별약관 (후정산),"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 주행거리 조건 : 10,000km 초과 12,000km 이하② 고지방식 조건 : 계기판？사진？전송③ 차종 조건 : 중형,대형④ 보험기간 조건 : 1년(추가가입의 경우 잔여기간 3개월이상)","대면, TM","대인1, 대인2, 대물, 자손, 무보험차상해, 자차",15
140,마일리지(후정산형)할인,한화손보,ECO 마일리지 특별약관 (후정산),"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 주행거리 조건 : 12,000km 초과 15,000km 이하② 고지방식 조건 : 계기판？사진？전송③ 차종 조건 : 중형,대형④ 보험기간 조건 : 1년(추가가입의 경우 잔여기간 3개월이상)","대면, TM","대인1, 대인2, 대물, 자손, 무보험차상해, 자차",9
141,마일리지(후정산형)할인,한화손보,ECO 마일리지 특별약관 (후정산),"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 주행거리 조건 : 15,000km 초과 18,000km 이하② 고지방식 조건 : 계기판？사진？전송③ 차종 조건 : 중형,대형④ 보험기간 조건 : 1년(추가가입의 경우 잔여기간 3개월이상)","대면, TM","대인1, 대인2, 대물, 자손, 무보험차상해, 자차",2
142,마일리지(후정산형)할인,한화손보,ECO 마일리지 특별약관 (후정산),"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 주행거리 조건 : 2,000km 이하② 고지방식 조건 : 계기판？사진？전송③ 차종 조건 : 다인승1,2종④ 보험기간 조건 : 1년(추가가입의 경우 잔여기간 3개월이상)","대면, TM","대인1, 대인2, 대물, 자손, 무보험차상해, 자차",42
143,마일리지(후정산형)할인,한화손보,ECO 마일리지 특별약관 (후정산),"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 주행거리 조건 : 2,000km 초과 3,000km 이하② 고지방식 조건 : 계기판？사진？전송③ 차종 조건 : 다인승1,2종④ 보험기간 조건 : 1년(추가가입의 경우 잔여기간 3개월이상)","대면, TM","대인1, 대인2, 대물, 자손, 무보험차상해, 자차",38
144,마일리지(후정산형)할인,한화손보,ECO 마일리지 특별약관 (후정산),"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 주행거리 조건 : 3,000km 초과 5,000km 이하② 고지방식 조건 : 계기판？사진？전송③ 차종 조건 : 다인승1,2종④ 보험기간 조건 : 1년(추가가입의 경우 잔여기간 3개월이상)","대면, TM","대인1, 대인2, 대물, 자손, 무보험차상해, 자차",33
145,마일리지(후정산형)할인,한화손보,ECO 마일리지 특별약관 (후정산),"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 주행거리 조건 : 5,000km 초과 7,000km 이하② 고지방식 조건 : 계기판？사진？전송③ 차종 조건 : 다인승1,2종④ 보험기간 조건 : 1년(추가가입의 경우 잔여기간 3개월이상)","대면, TM","대인1, 대인2, 대물, 자손, 무보험차상해, 자차",25
146,마일리지(후정산형)할인,한화손보,ECO 마일리지 특별약관 (후정산),"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 주행거리 조건 : 7,000km 초과 10,000km 이하② 고지방식 조건 : 계기판？사진？전송③ 차종 조건 : 다인승1,2종④ 보험기간 조건 : 1년(추가가입의 경우 잔여기간 3개월이상)","대면, TM","대인1, 대인2, 대물, 자손, 무보험차상해, 자차",23
147,마일리지(후정산형)할인,한화손보,ECO 마일리지 특별약관 (후정산),"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 주행거리 조건 : 10,000km 초과 12,000km 이하② 고지방식 조건 : 계기판？사진？전송③ 차종 조건 : 다인승1,2종④ 보험기간 조건 : 1년(추가가입의 경우 잔여기간 3개월이상)","대면, TM","대인1, 대인2, 대물, 자손, 무보험차상해, 자차",18
148,마일리지(후정산형)할인,한화손보,ECO 마일리지 특별약관 (후정산),"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 주행거리 조건 : 12,000km 초과 15,000km 이하② 고지방식 조건 : 계기판？사진？전송③ 차종 조건 : 다인승1,2종④ 보험기간 조건 : 1년(추가가입의 경우 잔여기간 3개월이상)","대면, TM","대인1, 대인2, 대물, 자손, 무보험차상해, 자차",12
149,마일리지(후정산형)할인,한화손보,ECO 마일리지 특별약관 (후정산),"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 주행거리 조건 : 15,000km 초과 18,000km 이하② 고지방식 조건 : 계기판？사진？전송③ 차종 조건 : 다인승1,2종④ 보험기간 조건 : 1년(추가가입의 경우 잔여기간 3개월이상)","대면, TM","대인1, 대인2, 대물, 자손, 무보험차상해, 자차",2
150,마일리지(후정산형)할인,롯데손보,후할인 주행거리 특별약관,▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 연간 주행거리 3천km 이하② 사진촬영 방식③ 전 차종④ 보험기간 3개월 이상,대면/TM/CM/PM,대인1/대인2/대물/자손/무보험/자차,31
151,마일리지(후정산형)할인,롯데손보,후할인 주행거리 특별약관,▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 연간 주행거리 5천km 이하② 사진촬영 방식③ 전 차종④ 보험기간 3개월 이상,대면/TM/CM/PM,대인1/대인2/대물/자손/무보험/자차,23
152,마일리지(후정산형)할인,롯데손보,후할인 주행거리 특별약관,▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 연간 주행거리 7천km 이하② 사진촬영 방식③ 전 차종④ 보험기간 3개월 이상,대면/TM/CM/PM,대인1/대인2/대물/자손/무보험/자차,18
153,마일리지(후정산형)할인,롯데손보,후할인 주행거리 특별약관,▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 연간 주행거리 1만km 이하② 사진촬영 방식③ 전 차종④ 보험기간 3개월 이상,대면/TM/CM/PM,대인1/대인2/대물/자손/무보험/자차,17
154,마일리지(후정산형)할인,롯데손보,후할인 주행거리 특별약관,▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 연간 주행거리 1만2천km 이하② 사진촬영 방식③ 전 차종④ 보험기간 3개월 이상,대면/TM/CM/PM,대인1/대인2/대물/자손/무보험/자차,2
155,마일리지(후정산형)할인,롯데손보,후할인 주행거리 특별약관,▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 연간 주행거리 1만5천km 이하② 사진촬영 방식③ 전 차종④ 보험기간 3개월 이상,대면/TM/CM/PM,대인1/대인2/대물/자손/무보험/자차,1
156,마일리지(후정산형)할인,MG손보,마일리지 특별약관Ⅱ (후할인형),"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 주행거리 : 연간 2,000km 이하② 고지방식 : 차량번호판 사진 및 계기판 사진전송③ 차종 : 6인 이하 승용차④ 보험기간 : 1년(단, 동일증권 추가시 3개월 이상)",대면/TM/CM,대인1/대인2/대물/자손/무보험/자차,43
157,마일리지(후정산형)할인,MG손보,마일리지 특별약관Ⅱ (후할인형),"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 주행거리 : 연간 2,000km 초과 4,000km 이하② 고지방식 : 차량번호판 사진 및 계기판 사진전송③ 차종 : 6인 이하 승용차④ 보험기간 : 1년(단, 동일증권 추가시 3개월 이상)",대면/TM/CM,대인1/대인2/대물/자손/무보험/자차,39
158,마일리지(후정산형)할인,MG손보,마일리지 특별약관Ⅱ (후할인형),"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 주행거리 : 연간 4,000km 초과 7,000km 이하② 고지방식 : 차량번호판 사진 및 계기판 사진전송③ 차종 : 6인 이하 승용차④ 보험기간 : 1년(단, 동일증권 추가시 3개월 이상)",대면/TM/CM,대인1/대인2/대물/자손/무보험/자차,31
159,마일리지(후정산형)할인,MG손보,마일리지 특별약관Ⅱ (후할인형),"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 주행거리 : 연간 7,000km 초과 10,000km 이하② 고지방식 : 차량번호판 사진 및 계기판 사진전송③ 차종 : 6인 이하 승용차④ 보험기간 : 1년(단, 동일증권 추가시 3개월 이상)",대면/TM/CM,대인1/대인2/대물/자손/무보험/자차,24
160,마일리지(후정산형)할인,MG손보,마일리지 특별약관Ⅱ (후할인형),"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 주행거리 : 연간 10,000km 초과 12,000km 이하② 고지방식 : 차량번호판 사진 및 계기판 사진전송③ 차종 : 6인 이하 승용차④ 보험기간 : 1년(단, 동일증권 추가시 3개월 이상)",대면/TM/CM,대인1/대인2/대물/자손/무보험/자차,13
161,마일리지(후정산형)할인,MG손보,마일리지 특별약관Ⅱ (후할인형),"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 주행거리 : 연간 12,000km 초과 15,000km 이하② 고지방식 : 차량번호판 사진 및 계기판 사진전송③ 차종 : 6인 이하 승용차④ 보험기간 : 1년(단, 동일증권 추가시 3개월 이상)",대면/TM/CM,대인1/대인2/대물/자손/무보험/자차,12
162,마일리지(후정산형)할인,MG손보,마일리지 특별약관Ⅱ (후할인형),"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 주행거리 : 연간 5,000km 이하② 고지방식 : 차량번호판 사진 및 계기판 사진전송③ 차종 : 7인 이상 10인 이하 승용차④ 보험기간 : 1년(단, 동일증권 추가시 3개월 이상)",대면/TM/CM,대인1/대인2/대물/자손/무보험/자차,36
163,마일리지(후정산형)할인,MG손보,마일리지 특별약관Ⅱ (후할인형),"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 주행거리 : 연간 5,000km 초과 7,000km이하② 고지방식 : 차량번호판 사진 및 계기판 사진전송③ 차종 : 7인 이상 10인 이하 승용차④ 보험기간 : 1년(단, 동일증권 추가시 3개월 이상)",대면/TM/CM,대인1/대인2/대물/자손/무보험/자차,26
164,마일리지(후정산형)할인,MG손보,마일리지 특별약관Ⅱ (후할인형),"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 주행거리 : 연간 7,000km 초과 10,000km이하② 고지방식 : 차량번호판 사진 및 계기판 사진전송③ 차종 : 7인 이상 10인 이하 승용차④ 보험기간 : 1년(단, 동일증권 추가시 3개월 이상)",대면/TM/CM,대인1/대인2/대물/자손/무보험/자차,16
165,마일리지(후정산형)할인,MG손보,마일리지 특별약관Ⅱ (후할인형),"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 주행거리 : 연간 10,000km 초과 13,000km이하② 고지방식 : 차량번호판 사진 및 계기판 사진전송③ 차종 : 7인 이상 10인 이하 승용차④ 보험기간 : 1년(단, 동일증권 추가시 3개월 이상)",대면/TM/CM,대인1/대인2/대물/자손/무보험/자차,13
166,마일리지(후정산형)할인,흥국화재,주행거리 바로할인 특별약관,"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 주행거리 : 보험기간 동안 1,000km 이하② 고지방식 : 계기판 사진전송③ 차종 : 전 차종④ 보험기간 : 1년(단, 동일증권 추가시 3개월 이상)",대면/TM/CM/PM,대인1/대인2/대물/자손/무보험/자차,45
167,마일리지(후정산형)할인,흥국화재,주행거리 바로할인 특별약관,"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 주행거리 : 보험기간 동안 1,000km 초과 ~ 2,000km 이하② 고지방식 : 계기판 사진전송③ 차종 : 전 차종④ 보험기간 : 1년(단, 동일증권 추가시 3개월 이상)",대면/TM/CM/PM,대인1/대인2/대물/자손/무보험/자차,44
168,마일리지(후정산형)할인,흥국화재,주행거리 바로할인 특별약관,"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 주행거리 : 보험기간 동안 2,000km 초과 ~ 3,000km 이하② 고지방식 : 계기판 사진전송③ 차종 : 전 차종④ 보험기간 : 1년(단, 동일증권 추가시 3개월 이상)",대면/TM/CM/PM,대인1/대인2/대물/자손/무보험/자차,38
169,마일리지(후정산형)할인,흥국화재,주행거리 바로할인 특별약관,"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 주행거리 : 보험기간 동안 3,000km 초과 ~ 5,000km 이하② 고지방식 : 계기판 사진전송③ 차종 : 전 차종④ 보험기간 : 1년(단, 동일증권 추가시 3개월 이상)",대면/TM/CM/PM,대인1/대인2/대물/자손/무보험/자차,35
170,마일리지(후정산형)할인,흥국화재,주행거리 바로할인 특별약관,"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 주행거리 : 보험기간 동안 5,000km 초과 ~ 7,000km 이하② 고지방식 : 계기판 사진전송③ 차종 : 전 차종④ 보험기간 : 1년(단, 동일증권 추가시 3개월 이상)",대면/TM/CM/PM,대인1/대인2/대물/자손/무보험/자차,25
171,마일리지(후정산형)할인,흥국화재,주행거리 바로할인 특별약관,"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 주행거리 : 보험기간 동안 7,000km 초과 ~ 10,000km 이하② 고지방식 : 계기판 사진전송③ 차종 : 전 차종④ 보험기간 : 1년(단, 동일증권 추가시 3개월 이상)",대면/TM/CM/PM,대인1/대인2/대물/자손/무보험/자차,23
172,마일리지(후정산형)할인,흥국화재,주행거리 바로할인 특별약관,"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 주행거리 : 보험기간 동안 10,000km 초과 ~ 12,000km 이하② 고지방식 : 계기판 사진전송③ 차종 : 전 차종④ 보험기간 : 1년(단, 동일증권 추가시 3개월 이상)",대면/TM/CM/PM,대인1/대인2/대물/자손/무보험/자차,16
173,마일리지(후정산형)할인,흥국화재,주행거리 바로할인 특별약관,"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 주행거리 : 보험기간 동안 12,000km 초과 ~ 15,000km 이하② 고지방식 : 계기판 사진전송③ 차종 : 전 차종④ 보험기간 : 1년(단, 동일증권 추가시 3개월 이상)",대면/TM/CM/PM,대인1/대인2/대물/자손/무보험/자차,12
174,마일리지(후정산형)할인,흥국화재,주행거리 바로할인 특별약관,"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 주행거리 : 보험기간 동안 15,000km 초과 ~ 18,000km 이하② 고지방식 : 계기판 사진전송③ 차종 : 전 차종④ 보험기간 : 1년(단, 동일증권 추가시 3개월 이상)",대면/TM/CM/PM,대인1/대인2/대물/자손/무보험/자차,6
175,마일리지(후정산형)할인,삼성화재,Eco 마일리지 특별약관,"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 주행거리 조건 : 연간주행거리 1,000km 이하② 고지방식 조건 : 차량번호판 및 계기판 사진 전송③ 차종 조건 : 전 차종(전기차 및 수소차 외)④ 보험기간 조건 : 보험기간 1년(동일증권 추가차량은 3개월 이상)인 경우","대면, TM, CM, 플랫폼","대인1, 대인2, 대물, 자손, 무보험, 자차",40
176,마일리지(후정산형)할인,삼성화재,Eco 마일리지 특별약관,"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 주행거리 조건 : 연간주행거리 1,000km 이하② 고지방식 조건 : 차량번호판 및 계기판 사진 전송③ 차종 조건 : 전기차 및 수소차④ 보험기간 조건 : 보험기간 1년(동일증권 추가차량은 3개월 이상)인 경우","대면, TM, CM, 플랫폼","대인1, 대인2, 대물, 자손, 무보험, 자차",42
177,마일리지(후정산형)할인,삼성화재,Eco 마일리지 특별약관,"▶ 다음의 조건 모두 해당하는 경우에 한하여 가입 가능① 주행거리 조건 : 연간주행거리 2,000km 이하② 고지방식 조건 : 차량번호판 및 계기판 사진 전송③ 차종 조건 : 전 차종(전기차 및 수소차 외)④ 보험기간 조건 : 보험기간 1년(동일증권 추가차량은 3개월 이상)인 경우","대면, TM, CM, 플랫폼","대인1, 대인2, 대물, 자손, 무보험, 자차",34
